Name,Address,Distance from 94th & Caribbean,Public Transportation Detail,What,FILTER: Reachable by public transport?,FILTER: General Category,Hours,Notes,URL
Fin City Brewing Co,"12911 Ocean Gateway #206, Ocean City, MD 21842",7 mi,Limited,Brewpub,Yes,Brews,,21+ for alcohol,Fin City Brewing Company
Old Pro Golf - 68th St,6801 Coastal Highway,4 mi,,Mini Golf,,Outdoor Amusements,,,Old Pro Golf
Old Pro Golf - 136th St,13606 Coastal Highway,2.7 mi,,Mini Golf,,Outdoor Amusements,,,Old Pro Golf
Old Pro Golf - 28th St,2801 Philadelphia Ave,3.7 mi,,Mini Golf,,Outdoor Amusements,,,Old Pro Golf
Old Pro Golf - 23rd St,2300 Philadelphia Ave,4.1 mi,,Mini Golf,,Outdoor Amusements,,,Old Pro Golf
Outlets Ocean City,"12741 Ocean Gateway, Ocean City, MD 21842",7 mi,Limited – Beach Bus to West OC plus some walking/rideshare,Outlet Mall,Yes,Shopping,,Closest and best option.,Outlets Ocean City
Sail Alyosha,307 Dorchester Street,8 mi,Yes,Cruise,Yes,Cruise,,"Offers  numerous trips including sails to Assateague, and sunset trips",Sail Alyosha
Tipsy Tikis,Various departures locations,-,Some locations accessible,Boat Cruise/Floating tiki bar,Yes,Cruise,,21+ for alcohol service. departs from multiple points in OC,Tipsy Tikis
Trapped Escape Rooms OCMD - Uptown 118th st,11805 Coastal Hwy,1.7 mi,Yes,Escape Room,Yes,Games,,"Recommended 10+, under 16 with adult",Trapped Rooms
Berlin Beer Company,"115 Broad St, Berlin, MD 21811",14 mi,No,Brewery,No,Brews,11-9 or 10,21+,Berlin Beer Company
Burley Oak Taproom & Brewing Company,"10016 Old Ocean City Blvd, Berlin, MD 21811",12 mi,No,Brewery,No,Brews,11-9,"21+ for alcohol or ticketed events; otherwise, under 21 welcome until 9pm. Leashed dogs allowed.",Burley Oak Brewing Company
Ocean Downs Casino,"10218 Racetrack Rd, Berlin",9 mi,No,Casino,No,Indoor Amusements,,"Can bet on horses at 18+, but must be 21+ to enter casino",Ocean Downs
Sinepuxent Brewing Company,"8816 Stephen Decatur Hwy, Berlin, MD 21811",11 mi,No,Brewery,No,Brews,11-10,"On the way to/from Assateague. Farm, can feed goats. Dogs allowed on leash.",Sinepuxent Brewing Company
Tanger Rehoboth Beach - Bayside,"36698 Bayside Outlet Dr, Rehoboth Beach, DE",28 mi,No,Outlet Mall,No,Shopping,"10-8 M-Th, 10-9 F-Sa, 10-7 Su",Largest outlet destination in the region,Tanger Rehoboth Beach - Shopping mall in Delaware
Tanger Rehoboth Beach - Surfside,"35000 Midway Outlet Dr, Rehoboth Beach, DE",29 mi,No,Outlet Mall,No,Shopping,"10-8 M-Th, 10-9 F-Sa, 10-7 Su",One of three Rehoboth Tanger sections,Tanger Rehoboth Beach - Shopping mall in Delaware
Tanger Rehoboth Beach - Seaside,"36470 Seaside Outlet Dr, Rehoboth Beach, DE",29 mi,No,Outlet Mall,No,Shopping,"10-8 M-Th, 10-9 F-Sa, 10-7 Su",Third Rehoboth cluster,Tanger Rehoboth Beach - Shopping mall in Delaware
Captive Escape Rooms Downtown Ocean City,101 S Baltimore Ave,8 mi,Yes,Escape Room,Yes,Indoor Amusements,,"Best for 13+, under 16 accompanied by adult",Captive Escape Rooms Ocean City
"Downtown Berlin, Maryland",14 South Main Street,22 mi,,Shopping,,Shopping,,Boutiques and cafes in historic district,
Grand Prix Amusements,12424 Ocean Gateway,7 mi,Limited,Go-Karts,Yes,Outdoor Amusements,,Driver height requirements,Ocean City
Viking Golf & Go-Karts,"37078 Coastal Hwy, Fenwick Island, DE",6 mi,Yes – DART bus connection possible,Go-Karts / Mini Golf,Yes,Outdoor Amusements,,Drivers must meet minimum height requirements,
Game World,"107 146th St, Ocean City, MD",3.5 mi,Yes – Beach Bus,Laser Tag / Arcade,Yes,Indoor Amusements,,especially recommended for rainy days,
Pro Track,"12424 Ocean Gateway, Ocean City, MD",7 mi,Limited – bus plus walk/rideshare,Go-Karts,Yes,Outdoor Amusements,,"Especially recommended, fastest go-carts in the area. Fast karts generally require teens/adults and minimum height (Grand Prix)","Especially recommended, fastest go-carts in the area. Fast karts generally require teens/adults and minimum height (Grand Prix)"
Nick's 21st Street Jurassic Golf & Ropes Course,"2009 Philadelphia Ave, Ocean City, MD",5.5 mi,Yes – Beach Bus,Mini Golf / Ropes Course,Yes,,,Especially recommended. Ropes course has height and weight limits,
Trimper Rides of Ocean City,"700 S Atlantic Ave, Ocean City, MD",8 mi,Yes – Beach Bus,Amusement Park,Yes,Amusement Parks,,Especially recommended. Some rides have minimum heights,
Escapomania Downtown - Escape Room,6 2nd St,8 mi,Yes,Escape Room,Yes,Indoor Amusements,,,Ocean City
Splash Mountain Water Park,"2901 Coastal Hwy, Ocean City, MD",4.5 mi,Yes – Beach Bus,Water Park,Yes,Outdoor Amusements,,"Good all-day activity, especially recommended. Height requirements for major slides (Ocean City Parks)",Ocean City Parks
Jolly Roger at the Pier,401 S Atlantic Ave,8 mi,Yes,Amusement Park,Yes,Outdoor Amusements,,Height limits on rides,
Viking Golf & Go-Karts,"37078 Coastal Hwy, Fenwick Island",6 mi,Possible via Beach Bus + DART,Go-Karts / Mini Golf,Yes,Amusement Parks,,Height requirements,
Baja Amusements,12639 Ocean Gateway,7 mi,Limited,Go-Karts,Yes,Outdoor Amusements,,Height restrictions,
Jolly Roger Amusement Park,2901 Coastal Hwy,4.5 mi,Yes,Amusement Park,Yes,Outdoor Amusements,,Height restrictions,
Sun Outdoors Frontier Town Water Park,"8424 Stephen Decatur Hwy, Berlin, MD",12 mi,No,Water Park,No,Outdoor Amusements,,Height restrictions on slides,
OC Skate Park,3rd Street area,7 mi,Yes,Skate Park,Yes,Outdoor Amusements,,Helmet required,
Electric Quarter Arcade,"13713 Coastal Hwy, Ocean City, MD",2.5 mi,Yes – Beach Bus,Arcade,Yes,,,"Newer arcade, especially recommended.",
Gold Coast Mall area,113th St,1.5 mi,Yes,Retail,Yes,Shopping,,regular retail and rainy-day browsing,
Captive Escape Rooms Midtown Ocean City,5909 Coastal Hwy,4 mi,Yes,Escape Room,Yes,Indoor Amusements,,Under 16 with adult,Captive Escape Rooms
Wednesday Movies on the Beach,118th Street,1.4 mi,Yes,,Yes,Movies,,Wenesday evenings only,
Alley Oops Midtown,5501 Coastal Hwy,4 mi,Yes,Arcade / Bowling / Restaurant,Yes,Indoor Amusements,,,
Alley Oops Uptown,13101 Coastal Hwy,2.5 mi,Yes,Arcade / Bowling,Yes,Indoor Amusements,,,
Assateague Island National Seashore Entrance Station,"MD-611, Berlin",12 mi,No,Wildlife / Beach,No,Outdoor Amusements,,,
Assateague Island Visitor Center,"11800 Marsh View Ln, Berlin",12 mi,No,Nature / National Seashore,No,Outdoor Amusements,,,
Assateague State Park Headquarters,"6915 Stephen Decatur Hwy, Berlin",11 mi,No,Beach / State Park,No,Outdoor Amusements,,,
Flagship Cinemas,12641 Ocean Gateway,7 mi,Limited,Movies,Yes,Indoor Amusements,,,
Funcade,"905 Atlantic Ave, Ocean City",7.5 mi,Yes,Arcade,Yes,Indoor Amusements,,,
